freq=1.250 (1/$\mu m$), T=0.363529
freq=1.251 (1/$\mu m$), T=0.363344
freq=1.253 (1/$\mu m$), T=0.364129
freq=1.254 (1/$\mu m$), T=0.364656
freq=1.255 (1/$\mu m$), T=0.364211
freq=1.256 (1/$\mu m$), T=0.363823
freq=1.258 (1/$\mu m$), T=0.364401
freq=1.259 (1/$\mu m$), T=0.365150
freq=1.260 (1/$\mu m$), T=0.365023
freq=1.261 (1/$\mu m$), T=0.364563
freq=1.263 (1/$\mu m$), T=0.364883
freq=1.264 (1/$\mu m$), T=0.365702
freq=1.265 (1/$\mu m$), T=0.365895
freq=1.266 (1/$\mu m$), T=0.365513
freq=1.268 (1/$\mu m$), T=0.365658
freq=1.269 (1/$\mu m$), T=0.366501
freq=1.270 (1/$\mu m$), T=0.366991
freq=1.271 (1/$\mu m$), T=0.366728
freq=1.273 (1/$\mu m$), T=0.366653
freq=1.274 (1/$\mu m$), T=0.367369
freq=1.275 (1/$\mu m$), T=0.368099
freq=1.276 (1/$\mu m$), T=0.368090
freq=1.278 (1/$\mu m$), T=0.367925
freq=1.279 (1/$\mu m$), T=0.368461
freq=1.280 (1/$\mu m$), T=0.369319
freq=1.281 (1/$\mu m$), T=0.369588
freq=1.283 (1/$\mu m$), T=0.369438
freq=1.284 (1/$\mu m$), T=0.369787
freq=1.285 (1/$\mu m$), T=0.370667
freq=1.286 (1/$\mu m$), T=0.371199
freq=1.288 (1/$\mu m$), T=0.371159
freq=1.289 (1/$\mu m$), T=0.371351
freq=1.290 (1/$\mu m$), T=0.372166
freq=1.291 (1/$\mu m$), T=0.372909
freq=1.293 (1/$\mu m$), T=0.373052
freq=1.294 (1/$\mu m$), T=0.373157
freq=1.295 (1/$\mu m$), T=0.373852
freq=1.296 (1/$\mu m$), T=0.374732
freq=1.298 (1/$\mu m$), T=0.375097
freq=1.299 (1/$\mu m$), T=0.375192
freq=1.300 (1/$\mu m$), T=0.375747
freq=1.301 (1/$\mu m$), T=0.376683
freq=1.303 (1/$\mu m$), T=0.377277
freq=1.304 (1/$\mu m$), T=0.377446
freq=1.305 (1/$\mu m$), T=0.377877
freq=1.306 (1/$\mu m$), T=0.378797
freq=1.308 (1/$\mu m$), T=0.379589
freq=1.309 (1/$\mu m$), T=0.379900
freq=1.310 (1/$\mu m$), T=0.380252
freq=1.311 (1/$\mu m$), T=0.381102
freq=1.313 (1/$\mu m$), T=0.382040
freq=1.314 (1/$\mu m$), T=0.382536
freq=1.315 (1/$\mu m$), T=0.382873
freq=1.316 (1/$\mu m$), T=0.383628
freq=1.318 (1/$\mu m$), T=0.384648
freq=1.319 (1/$\mu m$), T=0.385341
freq=1.320 (1/$\mu m$), T=0.385727
freq=1.321 (1/$\mu m$), T=0.386386
freq=1.323 (1/$\mu m$), T=0.387425
freq=1.324 (1/$\mu m$), T=0.388302
freq=1.325 (1/$\mu m$), T=0.388797
freq=1.326 (1/$\mu m$), T=0.389388
freq=1.328 (1/$\mu m$), T=0.390394
freq=1.329 (1/$\mu m$), T=0.391420
freq=1.330 (1/$\mu m$), T=0.392071
freq=1.331 (1/$\mu m$), T=0.392645
freq=1.333 (1/$\mu m$), T=0.393591
freq=1.334 (1/$\mu m$), T=0.394713
freq=1.335 (1/$\mu m$), T=0.395532
freq=1.336 (1/$\mu m$), T=0.396137
freq=1.338 (1/$\mu m$), T=0.397012
freq=1.339 (1/$\mu m$), T=0.398179
freq=1.340 (1/$\mu m$), T=0.399170
freq=1.341 (1/$\mu m$), T=0.399861
